Date,Open,High,Low,Close,Volume
2019-05-07,23495.12109,23918.45508,23212.89648,23354.00781,1345244
2019-05-08,23071.78516,23283.45313,22824.83984,22824.83984,1598603
2019-05-09,23036.50781,23142.33984,21872.33398,21942.89063,2746700
2019-05-10,22225.11328,22719.00586,22154.55859,22577.89258,1556254
2019-05-13,22577.89258,23142.33984,22577.89258,23071.78516,1103294
2019-05-14,22895.39453,23001.22852,22577.89258,22860.11719,1589717
2019-05-15,23001.22852,23354.00781,22789.56055,23212.89648,2211097
2019-05-16,23248.17383,23283.45313,22895.39453,23001.22852,1227678
2019-05-17,23071.78516,23071.78516,22577.89258,22683.72656,1330291
2019-05-20,22648.44922,23212.89648,22648.44922,23071.78516,1503573
2019-05-21,23071.78516,23459.8418,23001.22852,23318.73047,2645192
2019-05-22,23318.73047,23706.78906,23318.73047,23424.56445,1789686
2019-05-23,23283.45313,23565.67578,23001.22852,23565.67578,1127147
2019-05-24,23354.00781,23459.8418,22930.67383,22930.67383,2141450
2019-05-27,22930.67383,23071.78516,22860.11719,23001.22852,745550
2019-05-28,22930.67383,23142.33984,22683.72656,22789.56055,1674713
2019-05-29,22789.56055,22895.39453,22542.61523,22577.89258,1271275
2019-05-30,22719.00586,22789.56055,22436.78125,22436.78125,952194
2019-05-31,22330.94727,22507.33789,22189.83594,22225.11328,1567763
2019-06-03,22154.55859,22225.11328,21590.11133,21590.11133,2084941
2019-06-04,21590.11133,22577.89258,21554.83203,22577.89258,1441466
2019-06-05,22577.89258,22719.00586,22154.55859,22154.55859,684180
2019-06-06,22154.55859,22366.22656,21801.7793,22084.00195,467146
2019-06-07,22084.00195,22366.22656,22084.00195,22366.22656,650986
2019-06-10,22436.78125,22648.44922,22366.22656,22366.22656,668305
2019-06-11,22436.78125,22577.89258,22295.66992,22507.33789,1430623
2019-06-12,22366.22656,22507.33789,22189.83594,22225.11328,497916
2019-06-13,22154.55859,22401.50391,22154.55859,22225.11328,409801
2019-06-14,22366.22656,22754.2832,22225.11328,22683.72656,2323858
2019-06-17,22719.00586,22965.95117,22542.61523,22648.44922,983205
2019-06-18,22507.33789,22648.44922,22366.22656,22577.89258,416236
2019-06-19,22860.11719,22860.11719,22542.61523,22577.89258,753756
2019-06-20,22577.89258,23071.78516,22507.33789,23036.50781,1619111
2019-06-21,23071.78516,23248.17383,22895.39453,22930.67383,739356
2019-06-24,23036.50781,23283.45313,22860.11719,23001.22852,1162368
2019-06-25,23001.22852,23071.78516,22648.44922,22648.44922,1324409
2019-06-26,22577.89258,22965.95117,22507.33789,22930.67383,1491738
2019-06-27,22895.39453,22895.39453,22577.89258,22577.89258,990448
2019-06-28,22577.89258,22719.00586,22154.55859,22366.22656,925775
2019-07-01,22719.00586,22930.67383,22648.44922,22824.83984,780146
2019-07-02,22648.44922,22860.11719,22613.17188,22613.17188,644509
2019-07-03,22577.89258,22860.11719,22577.89258,22648.44922,580928
2019-07-04,22860.11719,23177.61914,22719.00586,23142.33984,1625873
2019-07-05,23036.50781,23424.56445,23001.22852,23142.33984,1707553
2019-07-08,23212.89648,23212.89648,22860.11719,22965.95117,799620
2019-07-09,22860.11719,23071.78516,22860.11719,23001.22852,572141
2019-07-10,23001.22852,23177.61914,22860.11719,22860.11719,990830
2019-07-11,23001.22852,23636.23242,22860.11719,23600.95508,3488069
2019-07-12,23636.23242,23847.90039,23495.12109,23565.67578,2008335
2019-07-15,23495.12109,23636.23242,23459.8418,23495.12109,1294675
2019-07-16,23600.95508,24377.06836,23600.95508,24377.06836,4660033
2019-07-17,24341.79102,24624.01563,24165.40234,24377.06836,2199474
2019-07-18,24306.51367,24482.90234,24130.12305,24482.90234,2044420
2019-07-19,24694.57031,24976.79492,24482.90234,24624.01563,2427875
2019-07-22,24835.68359,25364.85156,24694.57031,25223.74023,4057858
2019-07-23,25223.74023,25223.74023,24482.90234,24870.96094,3022935
2019-07-24,24976.79492,24976.79492,24130.12305,24306.51367,2673453
2019-07-25,24200.67969,24835.68359,24200.67969,24835.68359,1865484
2019-07-26,24694.57031,25329.57422,24694.57031,25259.01758,3095926
2019-07-29,25188.46289,25259.01758,24906.23828,25259.01758,1915246
2019-07-30,25117.90625,25117.90625,24659.29297,24694.57031,2300458
2019-07-31,24694.57031,25047.34961,24482.90234,25047.34961,1323262
2019-08-01,25047.34961,25047.34961,24729.84961,25012.07227,1055432
2019-08-02,24694.57031,25400.13086,24624.01563,25259.01758,4002625
2019-08-05,25047.34961,25259.01758,25012.07227,25259.01758,3499351
2019-08-06,24341.79102,25153.18359,24341.79102,24835.68359,1742786
2019-08-07,24941.51758,25047.34961,24482.90234,24482.90234,1532656
2019-08-08,24482.90234,24800.4043,24447.625,24482.90234,1288310
2019-08-09,24694.57031,24694.57031,24130.12305,24482.90234,1414353
2019-08-12,24588.73633,24976.79492,24024.28906,24941.51758,1946426
2019-08-13,24729.84961,24976.79492,24518.18164,24624.01563,1158031
2019-08-14,24906.23828,24976.79492,24518.18164,24765.12695,737924
2019-08-15,24341.79102,24765.12695,24341.79102,24765.12695,781124
2019-08-16,24694.57031,25894.02148,24624.01563,25400.13086,4587906
2019-08-19,25752.91016,26105.68945,25611.79883,25894.02148,1605761
2019-08-20,26070.41211,26070.41211,25788.1875,25964.57813,1134135
2019-08-21,25752.91016,26987.63867,25752.91016,26705.41406,3814562
2019-08-22,26811.24805,26881.80469,26458.46875,26529.02539,3711864
2019-08-23,26670.13672,26670.13672,26211.52344,26493.74609,1838300
2019-08-26,26035.13281,26705.41406,25823.46484,26705.41406,2561060
2019-08-27,27022.91602,27093.47266,26458.46875,26458.46875,1659378
2019-08-28,26458.46875,26811.24805,26387.91211,26529.02539,1321901
2019-08-29,26529.02539,26740.69336,26352.63477,26740.69336,1885256
2019-08-30,26952.35938,27375.69531,26775.9707,27340.41797,3099639
2019-09-03,27375.69531,27587.36328,27269.86133,27305.14063,1176967
2019-09-04,27305.14063,27375.69531,26811.24805,27234.58398,1306141
2019-09-05,27375.69531,27552.08594,27164.02734,27164.02734,1331057
2019-09-06,27164.02734,27164.02734,26493.74609,26811.24805,2165657
2019-09-09,26811.24805,26881.80469,26634.85938,26881.80469,1136445
2019-09-10,26775.9707,27234.58398,26670.13672,27022.91602,1422884
2019-09-11,26811.24805,27093.47266,26775.9707,26952.35938,735969
2019-09-12,27058.19336,27340.41797,26811.24805,27269.86133,2499322
2019-09-13,27410.97461,28116.5332,27234.58398,28116.5332,3264162
2019-09-16,28116.5332,28786.81445,28081.25586,28222.36719,1772791
2019-09-17,28010.69922,28927.92578,27799.03125,28927.92578,2220719
2019-09-18,28857.36914,29104.31641,28610.42383,29033.75977,2310663
2019-09-19,29069.03711,29104.31641,28751.53711,28786.81445,1459111
2019-09-20,28786.81445,28998.48242,28081.25586,28222.36719,3124330
2019-09-23,28010.69922,28575.14648,27940.14258,27975.42188,1544236
2019-09-24,28081.25586,28222.36719,27834.30859,27834.30859,1207806
2019-09-25,27693.19727,28151.81055,27446.25195,28151.81055,2048133
2019-09-26,28151.81055,28716.25781,28151.81055,28328.20117,1259015
2019-09-27,28434.03516,28504.58984,28257.64453,28398.75586,1286766
2019-09-30,28363.47852,28680.98047,27799.03125,27799.03125,2025556
2019-10-01,27799.03125,28222.36719,27799.03125,28222.36719,1222320
2019-10-02,28222.36719,28786.81445,28187.08789,28363.47852,2133328
2019-10-03,28081.25586,29104.31641,28045.97656,29104.31641,2748400
2019-10-04,29139.59375,29386.53906,28575.14648,28575.14648,1253516
2019-10-07,28857.36914,28857.36914,28222.36719,28504.58984,1144027
2019-10-08,28504.58984,28998.48242,28292.92188,28998.48242,921849
2019-10-09,28998.48242,29492.37305,28786.81445,29104.31641,2006294
2019-10-10,29104.31641,29421.81836,28927.92578,28927.92578,1494828
2019-10-11,28927.92578,29069.03711,28716.25781,28786.81445,2169725
2019-10-14,28927.92578,29598.20703,28822.0918,29033.75977,1958672
2019-10-15,28927.92578,29315.98438,28927.92578,29210.15039,895473
2019-10-16,29210.15039,29386.53906,29033.75977,29033.75977,921439
2019-10-17,29174.87109,29174.87109,28786.81445,28786.81445,1135424
2019-10-18,28786.81445,28786.81445,28222.36719,28292.92188,1737004
2019-10-21,28010.69922,28222.36719,27728.47461,27728.47461,1816317
2019-10-22,27728.47461,28222.36719,27728.47461,28222.36719,802412
2019-10-23,28222.36719,28434.03516,28116.5332,28292.92188,645954
2019-10-24,28292.92188,28575.14648,28045.97656,28434.03516,727323
2019-10-25,28222.36719,28610.42383,28081.25586,28363.47852,1373052
2019-10-28,28998.48242,29069.03711,28645.70313,28645.70313,1133965
2019-10-29,28857.36914,28857.36914,28222.36719,28645.70313,1305885
2019-10-30,28575.14648,28786.81445,28328.20117,28363.47852,1077740
2019-10-31,28363.47852,28716.25781,28257.64453,28645.70313,1102217
2019-11-01,28575.14648,28998.48242,28434.03516,28927.92578,1673339
2019-11-04,28998.48242,29950.98633,28998.48242,29774.59766,2472152
2019-11-05,29845.15234,29986.26563,29739.31836,29986.26563,1273315
2019-11-06,29880.43164,30127.37695,29774.59766,29774.59766,1163658
2019-11-07,29139.59375,29492.37305,28786.81445,29351.26172,1566218
2019-11-08,29492.37305,29633.48438,29069.03711,29139.59375,1069193
2019-11-11,29104.31641,29562.92969,28998.48242,29139.59375,1026773
2019-11-12,29210.15039,29774.59766,29139.59375,29704.04102,2125278
2019-11-13,29774.59766,30268.48828,29774.59766,30268.48828,2590059
2019-11-14,30339.04492,30339.04492,29704.04102,29986.26563,1149555
2019-11-15,30092.09766,30127.37695,29633.48438,29633.48438,889577
2019-11-18,29492.37305,29774.59766,29104.31641,29139.59375,1358454
2019-11-19,29139.59375,29421.81836,28998.48242,29386.53906,958161
2019-11-20,29562.92969,29562.92969,29104.31641,29315.98438,349396
2019-11-21,29280.70508,29421.81836,29033.75977,29069.03711,866956
2019-11-22,29280.70508,29280.70508,28081.25586,28363.47852,1475878
2019-11-25,28363.47852,28645.70313,27869.58789,28010.69922,1165670
2019-11-26,28434.03516,28610.42383,28081.25586,28222.36719,576195
2019-11-27,28292.92188,29210.15039,28292.92188,28786.81445,1503502
