Date,Open,High,Low,Close,Volume
2019-04-10,46119.46094,46119.46094,45654.94922,45721.30859,1083546
2019-04-11,45787.66797,45787.66797,44925,45455.87109,610451
2019-04-12,45522.23047,45522.23047,44858.64063,45124.07813,671197
2019-04-16,45124.07813,45124.07813,44062.33594,44725.92578,609773
2019-04-17,45057.71875,45256.79688,44460.48828,45124.07813,778658
2019-04-18,44792.28516,45588.58984,44792.28516,45057.71875,903901
2019-04-19,45057.71875,45455.87109,45057.71875,45124.07813,350441
2019-04-22,44526.84766,45190.4375,44460.48828,45057.71875,471992
2019-04-23,45124.07813,45124.07813,43863.25781,44792.28516,1967511
2019-04-24,44792.28516,45920.38672,44792.28516,45455.87109,1031571
2019-04-25,45455.87109,45455.87109,44925,44925,525475
2019-04-26,44991.35938,45323.15625,44792.28516,45057.71875,417817
2019-05-02,44858.64063,45057.71875,44062.33594,44394.12891,947015
2019-05-03,44327.76953,44593.20703,43863.25781,44261.41016,1294143
2019-05-06,43929.61719,44327.76953,43730.53906,43995.97656,549375
2019-05-07,43995.97656,44460.48828,43000.59375,43531.46484,1836210
2019-05-08,42867.875,43531.46484,42867.875,43199.66797,1531247
2019-05-09,43398.74609,43796.89844,43199.66797,43465.10547,1520789
2019-05-10,43465.10547,43863.25781,43266.02734,43531.46484,835411
2019-05-13,43664.17969,43863.25781,43531.46484,43730.53906,716435
2019-05-14,43398.74609,44195.05469,43398.74609,44195.05469,1302732
2019-05-15,44261.41016,44725.92578,44128.69531,44327.76953,1106451
2019-05-16,44327.76953,44725.92578,44327.76953,44327.76953,847224
2019-05-17,44327.76953,44460.48828,44195.05469,44327.76953,788076
2019-05-20,44327.76953,45190.4375,44261.41016,44991.35938,914812
2019-05-21,45057.71875,45389.51563,44925,44925,1089784
2019-05-22,44792.28516,45522.23047,44460.48828,44593.20703,998659
2019-05-23,44725.92578,45124.07813,44526.84766,44858.64063,711945
2019-05-24,44659.56641,45124.07813,43863.25781,44128.69531,2260448
2019-05-27,44460.48828,44991.35938,44128.69531,44725.92578,574632
2019-05-28,44460.48828,45522.23047,44327.76953,44725.92578,2008320
2019-05-29,44858.64063,45190.4375,44593.20703,44792.28516,924531
2019-05-30,44792.28516,45190.4375,44659.56641,44925,934025
2019-05-31,44792.28516,45124.07813,44327.76953,44593.20703,1419687
2019-06-03,44128.69531,44593.20703,42469.71875,44128.69531,1007641
